,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
63,Amherst,41.3978217,-82.22237750000001,"Eric Stocker, O.D.",41.398277,-82.22537799999999,Optical Shop
64,Amherst,41.3978217,-82.22237750000001,Neptune's Cellar / Ben Franklin Store,41.39852,-82.225431,Hobby Shop
65,Amherst,41.3978217,-82.22237750000001,Quarry Cafe,41.398536,-82.225699,Diner
66,Amherst,41.3978217,-82.22237750000001,Dairy Mart- Amherst,41.39955520629883,-82.22518920898438,Convenience Store
67,Amherst,41.3978217,-82.22237750000001,Hot Dog Heaven Food Truck,41.400554,-82.221813,Food Truck
68,Amherst,41.3978217,-82.22237750000001,Zilch Florist LLC,41.398044,-82.22608199999999,Flower Shop
69,Amherst,41.3978217,-82.22237750000001,Midwest School of Ballet,41.39854632879815,-82.2262154440129,Dance Studio
70,Amherst,41.3978217,-82.22237750000001,Cork's Wine Bar & Bistro,41.398279273872284,-82.22636435174174,American Restaurant
71,Amherst,41.3978217,-82.22237750000001,Giuseppe's Wine & Beer Shop,41.398313417221935,-82.22647018737416,Wine Shop
72,Amherst,41.3978217,-82.22237750000001,Cork's and Stubby's,41.398211206336384,-82.2264851829242,Wine Bar
73,Amherst,41.3978217,-82.22237750000001,Amherst Party Shop/ Richard's Wine Cellar,41.397514,-82.226558,Wine Shop
74,Amherst,41.3978217,-82.22237750000001,Barra,41.398445,-82.226633,Mexican Restaurant
75,Amherst,41.3978217,-82.22237750000001,Pure,41.398903999999995,-82.22658100000001,Gas Station
76,Amherst,41.3978217,-82.22237750000001,Above and Beyond Catering,41.395660400390625,-82.2178955078125,Food
77,Ashland,40.86861470000001,-82.3175942,Uniontown Brewing Company,40.86836087932982,-82.3162396701086,Brewery
78,Ashland,40.86861470000001,-82.3175942,Linder's Sports Bar & Grill,40.86823403374713,-82.31610624247121,Bar
79,Ashland,40.86861470000001,-82.3175942,Downtown Perk,40.86852952121852,-82.31725413135112,Coffee Shop
80,Ashland,40.86861470000001,-82.3175942,Home True Value Hardware,40.86781761,-82.31500983,Hardware Store
81,Ashland,40.86861470000001,-82.3175942,Wendy’s,40.86620303386792,-82.31983289128038,Fast Food Restaurant
82,Ashland,40.86861470000001,-82.3175942,PNC Bank,40.8694733,-82.315889,Bank
83,Ashland,40.86861470000001,-82.3175942,Rite Aid,40.8657529,-82.3188741,Pharmacy
84,Ashland,40.86861470000001,-82.3175942,Circle K,40.872905,-82.318452,Convenience Store
85,Ashland,40.86861470000001,-82.3175942,Save-A-Lot,40.86762409345512,-82.31442221856524,Grocery Store
86,Ashland,40.86861470000001,-82.3175942,BP,40.868388,-82.312549,Gas Station
87,Ashland,40.86861470000001,-82.3175942,LUCA Massage -  Derrick Bowersock,40.868385314941406,-82.3164291381836,Spa
88,Ashland,40.86861470000001,-82.3175942,Taco Bell,40.86676749615516,-82.31845829407146,Fast Food Restaurant
89,Ashland,40.86861470000001,-82.3175942,Irwin's Office Supply,40.86796347256705,-82.3147734738879,Paper / Office Supplies Store
90,Ashtabula,41.865054,-80.78980899999999,U.S. Bank ATM,41.86463165283203,-80.7845458984375,ATM
91,Ashtabula,41.865054,-80.78980899999999,Eagles Club,41.86529492319995,-80.78846807161075,Music Venue
92,Athens,39.3289242,-82.1012479,Jackie O's Public House & BrewPub,39.32774489533713,-82.10231464381461,Gastropub
93,Athens,39.3289242,-82.1012479,Restaurant Salaam,39.3291107777612,-82.1023240685463,Middle Eastern Restaurant
94,Athens,39.3289242,-82.1012479,Donkey Coffee & Espresso,39.32912737566132,-82.10202097892761,Coffee Shop
95,Athens,39.3289242,-82.1012479,Casa Nueva Restaurant & Cantina,39.330726296590875,-82.10128219900427,Latin American Restaurant
96,Athens,39.3289242,-82.1012479,Whit's Frozen Custard & Coffee House,39.327673513788866,-82.10146002579557,Ice Cream Shop
97,Athens,39.3289242,-82.1012479,GoodFella's Pizza,39.32755156351493,-82.10171082295042,Pizza Place
98,Athens,39.3289242,-82.1012479,College Book Store,39.327657413033926,-82.1011507255389,College Bookstore
99,Athens,39.3289242,-82.1012479,Pita Pit (Ohio University),39.32954050898596,-82.10081094003293,Sandwich Place
100,Athens,39.3289242,-82.1012479,O'Betty's Red Hot,39.33072979372582,-82.10164833410067,Hot Dog Joint
101,Athens,39.3289242,-82.1012479,The Union Bar & Grill,39.32770386495658,-82.10214018062952,Dive Bar
102,Athens,39.3289242,-82.1012479,Big Mamma's Burritos,39.32884607618184,-82.10124155793739,Burrito Place
103,Athens,39.3289242,-82.1012479,Athena Cinema,39.32843543869615,-82.10092170882861,Indie Movie Theater
104,Athens,39.3289242,-82.1012479,Zoe's,39.33097051723401,-82.10004565207856,American Restaurant
105,Athens,39.3289242,-82.1012479,Bagel Street Deli,39.32825411467679,-82.10137798717302,Bagel Shop
106,Athens,39.3289242,-82.1012479,Thai Paradise,39.329120537651676,-82.10500988759323,Thai Restaurant
107,Athens,39.3289242,-82.1012479,Brenen's Coffee Cafe,39.328002435930536,-82.10121894726991,Coffee Shop
108,Athens,39.3289242,-82.1012479,Union Street Diner,39.3282436865085,-82.10403921409463,Diner
109,Athens,39.3289242,-82.1012479,Insomnia Cookies,39.330127988065534,-82.10114662404247,Dessert Shop
110,Athens,39.3289242,-82.1012479,GoodFella's Pizza,39.33030886900199,-82.10113095444312,Pizza Place
111,Athens,39.3289242,-82.1012479,The C I,39.33016741048838,-82.10099171362259,Bar
112,Athens,39.3289242,-82.1012479,Fluff Bakery & Catering,39.32959127657432,-82.10110605100013,Bakery
113,Athens,39.3289242,-82.1012479,Ginger Asian Kitchen,39.32832942343756,-82.1011289211757,Japanese Restaurant
114,Athens,39.3289242,-82.1012479,Starbucks,39.327804,-82.101941,Coffee Shop
115,Athens,39.3289242,-82.1012479,Wings Over Athens,39.33024426696898,-82.10110100583232,Wings Joint
116,Athens,39.3289242,-82.1012479,Athens Underground,39.332046999999996,-82.100667,Thrift / Vintage Store
117,Athens,39.3289242,-82.1012479,Chipotle Mexican Grill,39.327961458290474,-82.10158464901167,Mexican Restaurant
118,Athens,39.3289242,-82.1012479,The Pub Bar & Grill,39.33043694017369,-82.10110670049951,Dive Bar
119,Athens,39.3289242,-82.1012479,Tony's Tavern,39.33065245390489,-82.10131836787492,Dive Bar
120,Athens,39.3289242,-82.1012479,Lucky's Sports Tavern,39.329896893092666,-82.10131970538241,Sports Bar
121,Athens,39.3289242,-82.1012479,The Over Hang,39.33117799336748,-82.1010603931156,Bar
122,Athens,39.3289242,-82.1012479,Cat's Eye Saloon,39.329777498185656,-82.10106340253976,Dive Bar
123,Athens,39.3289242,-82.1012479,Domino's Pizza,39.33058219207601,-82.10042208264683,Pizza Place
124,Athens,39.3289242,-82.1012479,Burrito Buggy,39.32731773064137,-82.101031102194,Food Truck
125,Athens,39.3289242,-82.1012479,Fusion Noodle Company,39.32765582908051,-82.10261779743838,Noodle House
126,Athens,39.3289242,-82.1012479,Chase Bank,39.328969695450944,-82.10086762905121,Bank
127,Athens,39.3289242,-82.1012479,Court Street Coffee,39.32716103831044,-82.10153429066483,Coffee Shop
128,Athens,39.3289242,-82.1012479,Smiling Skull Saloon,39.32930009381156,-82.10518153123688,Dive Bar
129,Athens,39.3289242,-82.1012479,Pawpurr's Bar,39.33037272930802,-82.10115025545613,Dive Bar
130,Athens,39.3289242,-82.1012479,Subway,39.33009021690797,-82.10130705029474,Sandwich Place
131,Athens,39.3289242,-82.1012479,Follett's University Bookstore,39.32757010921601,-82.1014751389586,College Bookstore
132,Athens,39.3289242,-82.1012479,Courtside Pizza,39.33178804313571,-82.1011168703488,Pizza Place
133,Athens,39.3289242,-82.1012479,The Front Room Coffeehouse,39.324792077757884,-82.1013168990612,Coffee Shop
134,Athens,39.3289242,-82.1012479,Valero / Dale's,39.330824,-82.100624,Gas Station
135,Athens,39.3289242,-82.1012479,Family Dollar,39.332251221665274,-82.10041353698878,Discount Store
136,Athens,39.3289242,-82.1012479,Athens Pyramids,39.33052720391968,-82.1007745012698,Hookah Bar
137,Athens,39.3289242,-82.1012479,Broneys Alumni Grill,39.332091151909815,-82.1011651626637,Sports Bar
138,Athens,39.3289242,-82.1012479,Armory Park,39.3325,-82.100716,Park
139,Athens,39.3289242,-82.1012479,Star of India,39.329527,-82.106104,Indian Restaurant
140,Athens,39.3289242,-82.1012479,Athens Uncorked,39.328102983571355,-82.10624829812274,Wine Bar
141,Athens,39.3289242,-82.1012479,Ohio Valley Running Company,39.328314073921504,-82.10630714893341,Sporting Goods Shop
142,Athens,39.3289242,-82.1012479,Spectrum,39.32845,-82.106627,Home Service
143,Athens,39.3289242,-82.1012479,OU-HCOM SAF Café,39.32670125760229,-82.10618892100865,Coffee Shop
144,Aurora,41.317555,-81.345386,Mario's International Spa,41.31767284196964,-81.34440735518594,Spa
145,Aurora,41.317555,-81.345386,CVS pharmacy,41.317928152427285,-81.34951493906684,Pharmacy
146,Aurora,41.317555,-81.345386,Heinen's Grocery Store,41.32011,-81.34676,Grocery Store
147,Aurora,41.317555,-81.345386,Starbucks,41.31711965759211,-81.35020781039182,Coffee Shop
148,Aurora,41.317555,-81.345386,Cinemark,41.31901423700447,-81.34916749432125,Movie Theater
149,Aurora,41.317555,-81.345386,Cutting Board,41.317257462418176,-81.34485894142811,Breakfast Spot
150,Aurora,41.317555,-81.345386,Great Clips,41.31876741015747,-81.34741365909571,Salon / Barbershop
151,Aurora,41.317555,-81.345386,Dunkin',41.31715660593584,-81.34783375515306,Donut Shop
152,Aurora,41.317555,-81.345386,Huntington National Bank,41.31957792,-81.34632532,Bank
153,Aurora,41.317555,-81.345386,Aurora Inn Hotel & Conference Center,41.31690400111194,-81.34438544511795,Hotel
154,Aurora,41.317555,-81.345386,U.S. Bank ATM,41.32022167970548,-81.3469849578318,ATM
155,Aurora,41.317555,-81.345386,Wendy’s,41.31774203815035,-81.3486447930336,Fast Food Restaurant
156,Aurora,41.317555,-81.345386,Pizza Hut,41.3201412,-81.3479783,Pizza Place
157,Aurora,41.317555,-81.345386,Dollar Tree,41.31953049446793,-81.34864286823147,Discount Store
158,Aurora,41.317555,-81.345386,The UPS Store,41.319762,-81.3489758,Shipping Store
159,Aurora,41.317555,-81.345386,The Cabin (Mario's International Spa & Hotel),41.3180810711517,-81.3448631190039,Resort
160,Aurora,41.317555,-81.345386,Fantasy Delight,41.31804407411834,-81.35115911629242,Ice Cream Shop
161,Aurora,41.317555,-81.345386,Walgreens,41.3171399,-81.3488734,Pharmacy
162,Aurora,41.317555,-81.345386,Cafe Tandoor,41.319872754646454,-81.3486897703432,Indian Restaurant
163,Aurora,41.317555,-81.345386,SUBWAY,41.3201462,-81.3484613,Sandwich Place
164,Aurora,41.317555,-81.345386,Shell / truenorth,41.31761129948818,-81.35057477405633,Gas Station
165,Aurora,41.317555,-81.345386,Howard Hanna Aurora,41.317848205566406,-81.3479232788086,Real Estate Office
166,Aurora,41.317555,-81.345386,Gionino's Pizzeria,41.316658000000004,-81.34855300000001,Pizza Place
167,Aurora,41.317555,-81.345386,Zeppe's Pizzeria,41.316404,-81.349425,Pizza Place
168,Avon,41.45165120000001,-82.0350598,Avon Brewing Company,41.45156978307106,-82.03545003380607,Gastropub
169,Avon,41.45165120000001,-82.0350598,Strip A Steak House,41.45370476903684,-82.03390849639146,Steakhouse
170,Avon,41.45165120000001,-82.0350598,Nemo Grille,41.45211426445703,-82.03482654316849,Seafood Restaurant
171,Avon,41.45165120000001,-82.0350598,Dairy Treat,41.45315344073045,-82.03665484947344,Ice Cream Shop
172,Avon,41.45165120000001,-82.0350598,Two Bucks Avon,41.45230622956826,-82.03384661163017,Bar
173,Avon,41.45165120000001,-82.0350598,Creekside Tavern,41.4515371572049,-82.03551219303642,American Restaurant
174,Avon,41.45165120000001,-82.0350598,Tommy's Jerky Outlet,41.452878000000005,-82.035776,Food & Drink Shop
175,Avon,41.45165120000001,-82.0350598,Frank & Ellie's Place,41.450571000000004,-82.036056,Bar
176,Avon,41.45165120000001,-82.0350598,Avon Family Eyecare,41.45208,-82.033829,Optical Shop
177,Avon,41.45165120000001,-82.0350598,Bar Nova,41.453386,-82.032823,Restaurant
178,Avon,41.45165120000001,-82.0350598,Taylor Rental,41.4503603,-82.0386706,Hardware Store
179,Avon,41.45165120000001,-82.0350598,Avon Cafe,41.4497,-82.03831,Café
180,Avon,41.45165120000001,-82.0350598,Carriage House Bakery & More,41.453731,-82.031582,Bakery
181,Avon,41.45165120000001,-82.0350598,Catherine's Chocolates,41.454587094373245,-82.0317924470881,Dessert Shop
182,Avon,41.45165120000001,-82.0350598,Nail Clinic & Body Spa,41.4554041,-82.03752100000001,Nail Salon
183,Avon,41.45165120000001,-82.0350598,The Little Gym,41.455452,-82.037948,Gym / Fitness Center
184,Avon,41.45165120000001,-82.0350598,Little League Park,41.455739198430656,-82.03293659545727,Baseball Field
185,Avon+Lake,41.510033,-82.0185895,Veterans Memorial Park,41.513445044385726,-82.0189501282677,Beach
186,Avon+Lake,41.510033,-82.0185895,Ellen Trivanovich Aquatic Center,41.51055867639938,-82.02218460744781,Pool
187,Avon+Lake,41.510033,-82.0185895,Avon Lake Playspace,41.51134696652762,-82.01951052114661,Playground
188,Avon+Lake,41.510033,-82.0185895,Bleser Park,41.510093688964844,-82.01980590820312,Park
189,Avon+Lake,41.510033,-82.0185895,Avon Lake Boat Club,41.513309837262824,-82.01933129396588,Harbor / Marina
190,Avon+Lake,41.510033,-82.0185895,Summer Market,41.513707000000004,-82.018168,Flea Market
191,Avon+Lake,41.510033,-82.0185895,Avon Lake Memorial Stadium,41.507553131849626,-82.01481423855479,Football Stadium
192,Barberton,41.012833,-81.60512209999999,Green Diamond Grille And Pub,41.01373759832739,-81.60734337748542,American Restaurant
193,Barberton,41.012833,-81.60512209999999,Kave Coffee Bar,41.012703,-81.610694,Coffee Shop
194,Barberton,41.012833,-81.60512209999999,Casa del Ranchero,41.01288979709315,-81.61033035661995,Mexican Restaurant
195,Barberton,41.012833,-81.60512209999999,Al's Quality Meats,41.013108,-81.609266,Deli / Bodega
196,Barberton,41.012833,-81.60512209999999,SUBWAY,41.012182632642144,-81.60964374277415,Sandwich Place
197,Barberton,41.012833,-81.60512209999999,Big Lots,41.014511543705844,-81.60449581158366,Big Box Store
198,Barberton,41.012833,-81.60512209999999,Magic City Brewing,41.01495,-81.60719,Brewery
199,Barberton,41.012833,-81.60512209999999,Dollar Tree,41.015422213392625,-81.60456821895501,Discount Store
200,Barberton,41.012833,-81.60512209999999,Parasson's Italian Restaurant,41.0167409978177,-81.60557586977907,Italian Restaurant
201,Barberton,41.012833,-81.60512209999999,U.S. Bank ATM,41.014678955078125,-81.60468292236328,ATM
202,Barberton,41.012833,-81.60512209999999,The Coffee Pot,41.01619519715495,-81.60728379788635,Coffee Shop
203,Barberton,41.012833,-81.60512209999999,Save-A-Lot,41.015701967178096,-81.60456112716287,Grocery Store
204,Barberton,41.012833,-81.60512209999999,Lake 8 Movies Theatre,41.012716397843874,-81.61106710294426,Multiplex
205,Barberton,41.012833,-81.60512209999999,White House Chicken,41.015293575483895,-81.60567628110418,Fried Chicken Joint
206,Barberton,41.012833,-81.60512209999999,The Salvation Army,41.013335999999995,-81.605418,Thrift / Vintage Store
207,Barberton,41.012833,-81.60512209999999,Verizon Wireless,41.014396244914515,-81.60547030483748,Mobile Phone Shop
208,Barberton,41.012833,-81.60512209999999,Fifth Third Bank & ATM,41.01181703658043,-81.60923212766642,Bank
209,Barberton,41.012833,-81.60512209999999,Rally's,41.01727427746643,-81.60516447858299,Fast Food Restaurant
210,Barberton,41.012833,-81.60512209999999,Taco Bell,41.01593554778877,-81.60572371912167,Fast Food Restaurant
211,Barberton,41.012833,-81.60512209999999,Sydmor's Jewelry & Pawn Shop,41.013987,-81.60724499999999,Pawn Shop
212,Barberton,41.012833,-81.60512209999999,McDonald's,41.01241308005226,-81.6081029176712,Fast Food Restaurant
213,Barberton,41.012833,-81.60512209999999,Super China,41.01545,-81.604085,Chinese Restaurant
214,Barberton,41.012833,-81.60512209999999,The Fast Lane Bowling Alley,41.01545,-81.604085,Bowling Alley
215,Barberton,41.012833,-81.60512209999999,Fashion Bug,41.01545,-81.604085,Women's Store
216,Barberton,41.012833,-81.60512209999999,AA Sound & Lighting,41.011539,-81.601007,Shop & Service
217,Barberton,41.012833,-81.60512209999999,Hiss Bakery,41.015766,-81.607716,Bakery
218,Barberton,41.012833,-81.60512209999999,Center Court Sports Bar & Eatery,41.016646,-81.60678399999999,American Restaurant
219,Barberton,41.012833,-81.60512209999999,Laundry Time,41.017016766666664,-81.60518528333333,Laundromat
220,Bay+Village,41.484996,-81.9208434,Heinen's Grocery Store,41.48368,-81.92193,Grocery Store
221,Bay+Village,41.484996,-81.9208434,Walgreens,41.4844,-81.9223528,Pharmacy
222,Bay+Village,41.484996,-81.9208434,SUBWAY,41.48421869838541,-81.92185001352561,Sandwich Place
223,Bay+Village,41.484996,-81.9208434,PNC Bank,41.48339,-81.92056,Bank
224,Bay+Village,41.484996,-81.9208434,Huntington Bank,41.48522718,-81.92040494,Bank
225,Bay+Village,41.484996,-81.9208434,Verizon Authorized Retailer – Victra,41.484724249999424,-81.92279192809116,Mobile Phone Shop
226,Bay+Village,41.484996,-81.9208434,KeyBank,41.4848191,-81.9227824,Bank
227,Bay+Village,41.484996,-81.9208434,Pizza Hut,41.48447375311712,-81.92111335694796,Pizza Place
228,Bay+Village,41.484996,-81.9208434,Bay Lanes,41.48425428260471,-81.9213538558235,Bowling Alley
229,Bay+Village,41.484996,-81.9208434,Perfect Fit Health Club,41.484240202221535,-81.92172035749415,Gym / Fitness Center
230,Bay+Village,41.484996,-81.9208434,Minotti's,41.484640308714084,-81.92263501438228,Liquor Store
231,Bay+Village,41.484996,-81.9208434,Java Bay,41.484277900849044,-81.92169382061674,Coffee Shop
232,Bay+Village,41.484996,-81.9208434,Boss ChicknBeer - Bay Village,41.484795246292094,-81.92261606454849,Fried Chicken Joint
233,Bay+Village,41.484996,-81.9208434,Geppetto's Pizza and Ribs,41.48475296337108,-81.92253580905351,Pizza Place
234,Bay+Village,41.484996,-81.9208434,Bay Tennis Courts,41.48581802845001,-81.92177054,Park
235,Bay+Village,41.484996,-81.9208434,Ross Wine & Liquor,41.484697,-81.922758,Liquor Store
236,Bay+Village,41.484996,-81.9208434,Vivid Diamonds and Design,41.484312,-81.921775,Jewelry Store
237,Bay+Village,41.484996,-81.9208434,Play in Bay,41.48641338687701,-81.92123206605886,Playground
238,Bay+Village,41.484996,-81.9208434,China House,41.484523119183436,-81.92195192915062,Chinese Restaurant
239,Bay+Village,41.484996,-81.9208434,Bay Village Pool,41.48673797583422,-81.92296751499354,Pool
240,Bay+Village,41.484996,-81.9208434,Bay Village Baseball Fields,41.48726531902155,-81.92232261998785,Baseball Field
241,Bay+Village,41.484996,-81.9208434,Hartman Field,41.48755787689914,-81.92214673853726,Baseball Field
242,Bay+Village,41.484996,-81.9208434,Bay Village Skate Park,41.48563242203396,-81.92547482292782,Skate Park
243,Bay+Village,41.484996,-81.9208434,Bay Village Community Gym,41.484161376953125,-81.9266128540039,Gym / Fitness Center
244,Bay+Village,41.484996,-81.9208434,Bay Boat Club,41.48880275339445,-81.92402811497905,Harbor / Marina
245,Beachwood,41.464498,-81.508732,City Barbeque,41.46505,-81.50716,American Restaurant
246,Beachwood,41.464498,-81.508732,Stein Mart,41.465621566434045,-81.50962940077079,Department Store
247,Beachwood,41.464498,-81.508732,Big Lots,41.465977985679956,-81.50683408958395,Big Box Store
248,Beachwood,41.464498,-81.508732,Benihana,41.46495446932085,-81.51137573207735,Japanese Restaurant
249,Beachwood,41.464498,-81.508732,Shuhei,41.46392227769019,-81.51425689841804,Sushi Restaurant
250,Beachwood,41.464498,-81.508732,Huntington Bank,41.4649739,-81.50524879999999,Bank
251,Beachwood,41.464498,-81.508732,GNC,41.465821000000005,-81.50756700000001,Supplement Shop
252,Beachwood,41.464498,-81.508732,Lane Bryant & Cacique,41.46556761033289,-81.50778326542479,Women's Store
253,Beachwood,41.464498,-81.508732,Bruegger's,41.46594748574922,-81.50744049570085,Bagel Shop
254,Beachwood,41.464498,-81.508732,Marco's Pizza,41.465821000000005,-81.50756700000001,Pizza Place
255,Beachwood,41.464498,-81.508732,Sally Beauty,41.465821000000005,-81.50756700000001,Cosmetics Shop
256,Beachwood,41.464498,-81.508732,Michaels,41.46575340272872,-81.50818929076195,Arts & Crafts Store
257,Beachwood,41.464498,-81.508732,U.S. Bank Branch,41.46390904051821,-81.50427856974913,Bank
258,Beachwood,41.464498,-81.508732,Giant Eagle Supermarket,41.46583647927538,-81.50578737258911,Supermarket
259,Beachwood,41.464498,-81.508732,Petco,41.46531060298223,-81.50900545057182,Pet Store
260,Beachwood,41.464498,-81.508732,Overload Fitness,41.46398,-81.507871,Gym
261,Beachwood,41.464498,-81.508732,Murphy Irish Arts Center,41.46206775301264,-81.50420097235289,Dance Studio
262,Beachwood,41.464498,-81.508732,Asian Sun Martial Arts,41.46216583251953,-81.5038833618164,Martial Arts School
263,Beavercreek,39.7092262,-84.0632685,DIRECTV,39.709039632946734,-84.06329713761806,Business Service
264,Bedford,41.39311,-81.536509,Mr. Gee's Bar & Grille,41.39367280617717,-81.53777281153272,Bar
